BARROW,United States,Northern,2020-08-21,71.29,-156.79,7.0,93,90,4.1
HOBYO,Somalia,Northern,2020-08-21,5.35,48.53,24.88,80,65,11.88
FREMONT,United States,Northern,2020-08-21,37.55,-121.99,23.33,82,20,1.27
SHEBOYGAN,United States,Northern,2020-08-21,43.73,-87.93,28.0,48,1,2.6
JOSHIMATH,India,Northern,2020-08-21,30.57,79.57,19.02,60,98,0.19
TIKSI,Russian Federation,Northern,2020-08-21,71.69,128.87,3.23,87,87,4.21
TURINSKAYA SLOBODA,Russian Federation,Northern,2020-08-21,57.62,64.39,12.55,96,66,3.17
RIO GALLEGOS,Argentina,Southern,2020-08-21,-51.62,-69.22,11.0,57,100,5.1
MARGATE,United Kingdom,Northern,2020-08-21,51.38,1.39,22.78,52,20,4.02
BALKANABAT,Turkmenistan,Northern,2020-08-21,39.51,54.37,35.05,15,0,6.77
SAN CRISTOBAL,"Venezuela, Bolivarian Republic of",Northern,2020-08-21,7.77,-72.22,28.0,78,75,1.5
CIDREIRA,Brazil,Southern,2020-08-21,-30.18,-50.21,11.64,52,7,5.37
CHUY,Uruguay,Southern,2020-08-21,-33.7,-53.46,13.43,49,0,4.42
AHIPARA,New Zealand,Southern,2020-08-21,-35.17,173.17,12.93,87,0,3.27
BUTARITARI,Kiribati,Northern,2020-08-21,3.07,172.79,27.96,66,100,1.82
MARATHON,United States,Northern,2020-08-21,44.9,-89.77,27.22,57,1,3.6
YAR-SALE,Russian Federation,Northern,2020-08-21,66.83,70.83,12.46,87,71,5.09
EAST LONDON,South Africa,Southern,2020-08-21,-33.02,27.91,16.58,62,0,2.93
CARNARVON,Australia,Southern,2020-08-21,-24.87,113.63,15.0,93,1,3.1
PORT ALFRED,South Africa,Southern,2020-08-21,-33.59,26.89,15.09,69,0,3.36
RIKITEA,French Polynesia,Southern,2020-08-21,-23.12,-134.97,18.5,69,0,10.23
KOMSOMOLSKIY,Uzbekistan,Northern,2020-08-21,40.43,71.72,24.0,50,0,3.1
USHUAIA,Argentina,Southern,2020-08-21,-54.8,-68.3,8.0,75,75,5.1
NEW NORFOLK,Australia,Southern,2020-08-21,-42.78,147.06,2.78,88,14,0.96
HERMANUS,South Africa,Southern,2020-08-21,-34.42,19.23,13.89,83,0,1.0
NEYSHABUR,"Iran, Islamic Republic of",Northern,2020-08-21,36.21,58.8,25.86,21,0,3.65
JAMESTOWN,United States,Northern,2020-08-21,42.1,-79.24,26.67,56,1,3.6
KOLVEREID,Norway,Northern,2020-08-21,64.87,11.6,25.0,50,20,4.1
ALBANY,United States,Northern,2020-08-21,42.6,-73.97,28.33,54,0,2.88
NECOCHEA,Argentina,Southern,2020-08-21,-38.55,-58.74,15.56,44,0,4.47
DIKSON,Russian Federation,Northern,2020-08-21,73.51,80.55,7.68,74,0,6.36
HUSAVIK,Iceland,Northern,2020-08-21,66.04,-17.34,10.0,71,0,3.6
PUNTA ARENAS,Chile,Southern,2020-08-21,-53.15,-70.92,8.0,70,75,9.3
TASIILAQ,Greenland,Northern,2020-08-21,65.61,-37.64,10.0,57,20,4.1
MATAURA,New Zealand,Southern,2020-08-21,-46.19,168.86,7.78,97,92,0.89
PORT ELIZABETH,South Africa,Southern,2020-08-21,-33.92,25.57,16.0,77,0,1.5
POKHARA,Nepal,Northern,2020-08-21,28.23,83.98,22.51,81,83,0.5
BAGHDAD,Iraq,Northern,2020-08-21,33.34,44.4,37.0,19,0,2.1
MIANDRIVAZO,Madagascar,Southern,2020-08-21,-19.52,45.47,25.56,50,70,0.99
KHATANGA,Russian Federation,Northern,2020-08-21,71.97,102.5,6.91,62,0,6.25
PORT LINCOLN,Australia,Southern,2020-08-21,-34.73,135.87,9.78,67,50,8.78
OLAFSVIK,Iceland,Northern,2020-08-21,64.89,-23.71,12.5,57,0,6.8
HILO,United States,Northern,2020-08-21,19.73,-155.09,23.0,94,90,1.5
KACHUG,Russian Federation,Northern,2020-08-21,53.96,105.88,14.09,69,93,1.59
SAO FILIPE,Cabo Verde,Northern,2020-08-21,14.9,-24.5,25.13,74,38,2.5
RIYADH,Saudi Arabia,Northern,2020-08-21,24.69,46.72,39.0,12,6,3.6
FAANUI,French Polynesia,Southern,2020-08-21,-16.48,-151.75,25.18,80,8,10.79
VANIMO,Papua New Guinea,Southern,2020-08-21,-2.67,141.3,26.18,85,21,2.4
BLUFF,New Zealand,Southern,2020-08-21,-46.6,168.33,7.78,97,81,0.89
ARRAIAL DO CABO,Brazil,Southern,2020-08-21,-22.97,-42.03,21.0,77,90,8.2
ASAU,Romania,Northern,2020-08-21,46.43,26.4,21.11,83,42,1.56
SUMMERSIDE,Canada,Northern,2020-08-21,46.4,-63.79,19.44,67,93,1.34
BUSSELTON,Australia,Southern,2020-08-21,-33.65,115.33,10.0,72,100,3.07
MOUNT ISA,Australia,Southern,2020-08-21,-20.73,139.5,14.0,30,0,0.5
HITHADHOO,Maldives,Southern,2020-08-21,-0.6,73.08,28.39,80,60,6.2
CHERSKIY,Russian Federation,Northern,2020-08-21,68.75,161.3,3.31,81,100,5.39
SORLAND,Norway,Northern,2020-08-21,67.67,12.69,13.0,87,80,4.6
SOMPETA,India,Northern,2020-08-21,18.93,84.6,27.55,85,93,6.6
KVARKENO,Russian Federation,Northern,2020-08-21,52.08,59.73,13.64,76,19,2.84
BINZHOU,China,Northern,2020-08-21,37.37,118.02,22.22,77,0,0.54
HOJAI,India,Northern,2020-08-21,26.0,92.87,24.83,91,53,2.26
YEGORLYKSKAYA,Russian Federation,Northern,2020-08-21,46.57,40.66,22.69,51,100,1.67
TE ANAU,New Zealand,Southern,2020-08-21,-45.42,167.72,5.88,88,88,0.22
SALDANHA,South Africa,Southern,2020-08-21,-33.01,17.94,18.0,55,0,3.1
WILMINGTON,United States,Northern,2020-08-21,34.23,-77.94,27.22,78,90,1.37
CODRINGTON,Australia,Southern,2020-08-21,-38.27,141.97,7.58,82,86,8.71
KODIAK,United States,Northern,2020-08-21,57.79,-152.41,15.55,71,1,2.44
COQUIMBO,Chile,Southern,2020-08-21,-29.95,-71.34,13.0,71,20,2.1
LONGYEARBYEN,Svalbard and Jan Mayen,Northern,2020-08-21,78.22,15.64,7.0,75,75,5.1
CASTRO,Brazil,Southern,2020-08-21,-24.79,-50.01,7.4,85,100,2.74
QAANAAQ,Greenland,Northern,2020-08-21,77.48,-69.36,5.1,78,77,1.75
DONG HOI,Viet Nam,Northern,2020-08-21,17.48,106.6,26.28,85,100,2.35
SAN QUINTIN,Mexico,Northern,2020-08-21,30.48,-115.95,27.24,62,59,2.46
ATUONA,French Polynesia,Southern,2020-08-21,-9.8,-139.03,25.79,80,4,7.81
LAVRENTIYA,Russian Federation,Northern,2020-08-21,65.58,-171.0,8.43,88,98,2.35
GERALDTON,Australia,Southern,2020-08-21,-28.77,114.6,14.0,76,90,3.6
SAN ANDRES,Colombia,Northern,2020-08-21,12.58,-81.7,30.0,79,40,3.1
MOGADISHU,Somalia,Northern,2020-08-21,2.04,45.34,24.85,83,100,6.26
TURUKHANSK,Russian Federation,Northern,2020-08-21,65.82,87.98,12.01,72,15,4.59
SASKYLAKH,Russian Federation,Northern,2020-08-21,71.92,114.08,4.14,84,90,3.66
FAYA,Saudi Arabia,Northern,2020-08-21,18.39,42.45,30.0,73,75,2.6
ROBERTSPORT,Liberia,Northern,2020-08-21,6.75,-11.37,25.26,84,45,6.13
ABHA,Saudi Arabia,Northern,2020-08-21,18.22,42.51,30.0,73,75,2.6
KONDE,"Tanzania, United Republic of",Southern,2020-08-21,-4.95,39.75,23.86,81,64,4.21
RAWSON,Argentina,Southern,2020-08-21,-43.3,-65.1,17.77,28,0,5.88
VICTORIA,Hong Kong,Northern,2020-08-21,22.29,114.16,28.89,70,64,1.34
SOUILLAC,Mauritius,Southern,2020-08-21,-20.52,57.52,23.0,64,75,4.1
PONTA DO SOL,Portugal,Northern,2020-08-21,32.67,-17.1,25.0,81,57,2.69
ALOFI,Niue,Southern,2020-08-21,-19.06,-169.92,22.0,94,3,1.0
